Time	Amplitude
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.363598330706405404e-01+5.394412599738695330e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.303153622692578062e-01+7.570188979796810269e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.222726910810493839e-01+9.680287089333680650e-02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (2.123015969141217318e-01+1.170639985594126992e-01j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (2.004885880531015740e-01+1.363094885504277654e-01j)
 (5.000000000000000000e+01+0.000000000000000000e+00j)	 (1.869361531229737639e-01+1.543723681925975311e-01j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)	 (1.717618719083704726e-01+1.710959250296187895e-01j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (1.550973952427380509e-01+1.863350664516159050e-01j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)	 (1.370873028177513886e-01+1.999575785114592885e-01j)
 (9.000000000000000000e+01+0.000000000000000000e+00j)	 (1.178878488225050952e-01+2.118452730070151668e-01j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (9.766560629519524528e-02+2.218950128772818331e-01j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (7.659602194877503101e-02+2.300196070161035777e-01j)
 (1.200000000000000000e+02+0.000000000000000000e+00j)	 (5.486189400879144806e-02+2.361485667400738953e-01j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)	 (3.265178626955833607e-02+2.402287173475173010e-01j)
 (1.400000000000000000e+02+0.000000000000000000e+00j)	 (1.015839212819046392e-02+2.422246594626561444e-01j)
 (1.500000000000000000e+02+0.000000000000000000e+00j)	 (-1.242313720998222334e-02+2.421190761623205345e-01j)
 (1.600000000000000000e+02+0.000000000000000000e+00j)	 (-3.489688585024829093e-02+2.399128832205398298e-01j)
 (1.700000000000000000e+02+0.000000000000000000e+00j)	 (-5.706787296221294686e-02+2.356252211674518815e-01j)
 (1.800000000000000000e+02+0.000000000000000000e+00j)	 (-7.874374442140581742e-02+2.292932892313743753e-01j)
 (1.900000000000000000e+02+0.000000000000000000e+00j)	 (-9.973644166221941332e-02+2.209720226046950342e-01j)
 (2.000000000000000000e+02+0.000000000000000000e+00j)	 (-1.198638332633066711e-01+2.107336158335502974e-01j)
 (2.100000000000000000e+02+0.000000000000000000e+00j)	 (-1.389512951098905991e-01+1.986668964662846870e-01j)
 (2.200000000000000000e+02+0.000000000000000000e+00j)	 (-1.568332254235779710e-01+1.848765543948286127e-01j)
 (2.300000000000000000e+02+0.000000000000000000e+00j)	 (-1.733544815153499896e-01+1.694822335751355047e-01j)
 (2.400000000000000000e+02+0.000000000000000000e+00j)	 (-1.883717257965208669e-01+1.526174940068107666e-01j)
 (2.500000000000000000e+02+0.000000000000000000e+00j)	 (-2.017546693697251647e-01+1.344286529776954064e-01j)
 (2.600000000000000000e+02+0.000000000000000000e+00j)	 (-2.133872024105790965e-01+1.150735156266539660e-01j)
 (2.700000000000000000e+02+0.000000000000000000e+00j)	 (-2.231684015328533055e-01+9.472000583809667140e-02j)
 (2.800000000000000000e+02+0.000000000000000000e+00j)	 (-2.310134053972772161e-01+7.354470934647933111e-02j)
 (2.900000000000000000e+02+0.000000000000000000e+00j)	 (-2.368541509671988343e-01+5.173134169069483479e-02j)
 (3.000000000000000000e+02+0.000000000000000000e+00j)	 (-2.406399640233453929e-01+2.946915431026990786e-02j)
 (3.100000000000000000e+02+0.000000000000000000e+00j)	 (-2.423379988143625485e-01+6.951292611964376283e-03j)
 (3.200000000000000000e+02+0.000000000000000000e+00j)	 (-2.419335230287013028e-01-1.562687974791922632e-02j)
 (3.300000000000000000e+02+0.000000000000000000e+00j)	 (-2.394300456154014045e-01-3.806947582709817313e-02j)
 (3.400000000000000000e+02+0.000000000000000000e+00j)	 (-2.348492863447546597e-01-6.018178490133910957e-02j)
 (3.500000000000000000e+02+0.000000000000000000e+00j)	 (-2.282309873728849414e-01-8.177196176415410522e-02j)
 (3.600000000000000000e+02+0.000000000000000000e+00j)	 (-2.196325684450507743e-01-1.026526911658883490e-01j)
 (3.700000000000000000e+02+0.000000000000000000e+00j)	 (-2.091286287290539669e-01-1.226428129516107246e-01j)
 (3.800000000000000000e+02+0.000000000000000000e+00j)	 (-1.968102996007738414e-01-1.415688937981832429e-01j)
 (3.900000000000000000e+02+0.000000000000000000e+00j)	 (-1.827844539969730731e-01-1.592667319141876925e-01j)
 (4.000000000000000000e+02+0.000000000000000000e+00j)	 (-1.671727791949426112e-01-1.755827816479910430e-01j)
 (4.100000000000000000e+02+0.000000000000000000e+00j)	 (-1.501107210634567424e-01-1.903754856440984800e-01j)
 (4.200000000000000000e+02+0.000000000000000000e+00j)	 (-1.317463089446181956e-01-2.035165029900445899e-01j)
 (4.300000000000000000e+02+0.000000000000000000e+00j)	 (-1.122388713618175937e-01-2.148918226984534163e-01j)
 (4.400000000000000000e+02+0.000000000000000000e+00j)	 (-9.175765369622683465e-02-2.244027528637123070e-01j)
 (4.500000000000000000e+02+0.000000000000000000e+00j)	 (-7.048034982475687160e-02-2.319667769113499534e-01j)
 (4.600000000000000000e+02+0.000000000000000000e+00j)	 (-4.859156045889127806e-02-2.375182695112975084e-01j)
 (4.700000000000000000e+02+0.000000000000000000e+00j)	 (-2.628119155974473556e-02-2.410090659437585936e-01j)
 (4.800000000000000000e+02+0.000000000000000000e+00j)	 (-3.742806724596260161e-03-2.424088799778529313e-01j)
 (4.900000000000000000e+02+0.000000000000000000e+00j)	 (1.882805216050085009e-02-2.417055666374862966e-01j)
 (5.000000000000000000e+02+0.000000000000000000e+00j)	 (4.123556143211106612e-02-2.389052275746550991e-01j)
 (5.100000000000000000e+02+0.000000000000000000e+00j)	 (6.328531460596314995e-02-2.340321581359193215e-01j)
 (5.200000000000000000e+02+0.000000000000000000e+00j)	 (8.478600903858665716e-02-2.271286365812404395e-01j)
 (5.300000000000000000e+02+0.000000000000000000e+00j)	 (1.055511056606403819e-01-2.182545572838602843e-01j)
 (5.400000000000000000e+02+0.000000000000000000e+00j)	 (1.254004473821519194e-01-2.074869110935119443e-01j)
 (5.500000000000000000e+02+0.000000000000000000e+00j)	 (1.441618221284517443e-01-1.949191173712546410e-01j)
 (5.600000000000000000e+02+0.000000000000000000e+00j)	 (1.616724569459523919e-01-1.806602134911204638e-01j)
 (5.700000000000000000e+02+0.000000000000000000e+00j)	 (1.777804302149577353e-01-1.648339088403735497e-01j)
 (5.800000000000000000e+02+0.000000000000000000e+00j)	 (1.923459897171823918e-01-1.475775115257871584e-01j)
 (5.900000000000000000e+02+0.000000000000000000e+00j)	 (2.052427651224558725e-01-1.290407370977444124e-01j)
 (6.000000000000000000e+02+0.000000000000000000e+00j)	 (2.163588643750943286e-01-1.093844096275838340e-01j)
 (6.100000000000000000e+02+0.000000000000000000e+00j)	 (2.255978444677051442e-01-8.877906640754675005e-02j)
 (6.200000000000000000e+02+0.000000000000000000e+00j)	 (2.328795481799902922e-01-6.740347837885868332e-02j)
 (6.300000000000000000e+02+0.000000000000000000e+00j)	 (2.381407995229944119e-01-4.544309912462117518e-02j)
 (6.400000000000000000e+02+0.000000000000000000e+00j)	 (2.413359518551087546e-01-2.308845588395827195e-02j)
 (6.500000000000000000e+02+0.000000000000000000e+00j)	 (2.424372839143502378e-01-5.334965468954877207e-04j)
 (6.600000000000000000e+02+0.000000000000000000e+00j)	 (2.414352403309066031e-01+2.202609302864163079e-02j)
 (6.700000000000000000e+02+0.000000000000000000e+00j)	 (2.383385145332206634e-01+4.439458677883161702e-02j)
 (6.800000000000000000e+02+0.000000000000000000e+00j)	 (2.331739733282713056e-01+6.637791654525430907e-02j)
 (6.900000000000000000e+02+0.000000000000000000e+00j)	 (2.259864238103392320e-01+8.778535580273509609e-02j)
 (7.000000000000000000e+02+0.000000000000000000e+00j)	 (2.168382246204944575e-01+1.084311743957806079e-01j)
 (7.100000000000000000e+02+0.000000000000000000e+00j)	 (2.058087449294536964e-01+1.281362499271641031e-01j)
 (7.200000000000000000e+02+0.000000000000000000e+00j)	 (1.929936758376006589e-01+1.467296218183035406e-01j)
 (7.300000000000000000e+02+0.000000000000000000e+00j)	 (1.785042001663864619e-01+1.640499745584490521e-01j)
 (7.400000000000000000e+02+0.000000000000000000e+00j)	 (1.624660278439247207e-01+1.799470372740389623e-01j)
 (7.500000000000000000e+02+0.000000000000000000e+00j)	 (1.450183052536927752e-01+1.942828874755892221e-01j)
 (7.600000000000000000e+02+0.000000000000000000e+00j)	 (1.263124080087484336e-01+2.069331476708257400e-01j)
 (7.700000000000000000e+02+0.000000000000000000e+00j)	 (1.065106276252720946e-01+2.177880644622514072e-01j)
 (7.800000000000000000e+02+0.000000000000000000e+00j)	 (8.578476348976744881e-02+2.267534607669018931e-01j)
 (7.900000000000000000e+02+0.000000000000000000e+00j)	 (6.431463233593769091e-02+2.337515528968198697e-01j)
 (8.000000000000000000e+02+0.000000000000000000e+00j)	 (4.228650816292987141e-02+2.387216254112469460e-01j)
 (8.100000000000000000e+02+0.000000000000000000e+00j)	 (1.989150613014243479e-02+2.416205578854903058e-01j)
 (8.200000000000000000e+02+0.000000000000000000e+00j)	 (-2.676075550150460759e-03+2.424231990261886127e-01j)
 (8.300000000000000000e+02+0.000000000000000000e+00j)	 (-2.522044133669071320e-02+2.411225848871151323e-01j)
 (8.400000000000000000e+02+0.000000000000000000e+00j)	 (-4.754599707436930195e-02+2.377299992922351779e-01j)
 (8.500000000000000000e+02+0.000000000000000000e+00j)	 (-6.945904696260499223e-02+2.322748759417373743e-01j)
 (8.600000000000000000e+02+0.000000000000000000e+00j)	 (-9.076947405413486603e-02+2.248045430503121389e-01j)
 (8.700000000000000000e+02+0.000000000000000000e+00j)	 (-1.112923897042532584e-01+2.153838127331342556e-01j)
 (8.800000000000000000e+02+0.000000000000000000e+00j)	 (-1.308497376599144502e-01+2.040944187019780864e-01j)
 (8.900000000000000000e+02+0.000000000000000000e+00j)	 (-1.492718388716788025e-01+1.910343071499360779e-01j)
 (9.000000000000000000e+02+0.000000000000000000e+00j)	 (-1.663988636257125175e-01+1.763167869769696194e-01j)
 (9.100000000000000000e+02+0.000000000000000000e+00j)	 (-1.820822182236767062e-01+1.600695467288460738e-01j)
 (9.200000000000000000e+02+0.000000000000000000e+00j)	 (-1.961858341796580696e-01+1.424335467784435538e-01j)
 (9.300000000000000000e+02+0.000000000000000000e+00j)	 (-2.085873487491000933e-01+1.235617963607661268e-01j)
 (9.400000000000000000e+02+0.000000000000000000e+00j)	 (-2.191791665474411566e-01+1.036180260720603180e-01j)
 (9.500000000000000000e+02+0.000000000000000000e+00j)	 (-2.278693930478694896e-01+8.277526735033811922e-02j)
 (9.600000000000000000e+02+0.000000000000000000e+00j)	 (-2.345826318591382742e-01+6.121435126167611152e-02j)
 (9.700000000000000000e+02+0.000000000000000000e+00j)	 (-2.392606388662445460e-01+3.912233961674748545e-02j)
 (9.800000000000000000e+02+0.000000000000000000e+00j)	 (-2.418628275586162113e-01+1.669090202914923909e-02j)
 (9.900000000000000000e+02+0.000000000000000000e+00j)	 (-2.423666211615446153e-01-5.885347003882047436e-03j)
 (1.000000000000000000e+03+0.000000000000000000e+00j)	 (-2.407676485157314028e-01-2.841053657095379478e-02j)
 (1.010000000000000000e+03+0.000000000000000000e+00j)	 (-2.370797820054507121e-01-5.068923871707827628e-02j)
 (1.020000000000000000e+03+0.000000000000000000e+00j)	 (-2.313350172062136889e-01-7.252816397162363538e-02j)
 (1.030000000000000000e+03+0.000000000000000000e+00j)	 (-2.235831952960548041e-01-9.373783832330111199e-02j)
 (1.040000000000000000e+03+0.000000000000000000e+00j)	 (-2.138915706387442273e-01-1.141342470927794728e-01j)
 (1.050000000000000000e+03+0.000000000000000000e+00j)	 (-2.023442272905103534e-01-1.335404314407307447e-01j)
 (1.060000000000000000e+03+0.000000000000000000e+00j)	 (-1.890413494925979043e-01-1.517880236600162025e-01j)
 (1.070000000000000000e+03+0.000000000000000000e+00j)	 (-1.740983524788038139e-01-1.687187079318369365e-01j)
 (1.080000000000000000e+03+0.000000000000000000e+00j)	 (-1.576448811390355198e-01-1.841855938723440944e-01j)
 (1.090000000000000000e+03+0.000000000000000000e+00j)	 (-1.398236852264278796e-01-1.980544909528087205e-01j)
 (1.100000000000000000e+03+0.000000000000000000e+00j)	 (-1.207893808666432867e-01-2.102050727364952465e-01j)
 (1.110000000000000000e+03+0.000000000000000000e+00j)	 (-1.007071091144528530e-01-2.205319208312916945e-01j)
 (1.120000000000000000e+03+0.000000000000000000e+00j)	 (-7.975110319588184227e-02-2.289454395007609333e-01j)
 (1.130000000000000000e+03+0.000000000000000000e+00j)	 (-5.810317686647729213e-02-2.353726329984165422e-01j)
 (1.140000000000000000e+03+0.000000000000000000e+00j)	 (-3.595114700064679786e-02-2.397577388810425147e-01j)
 (1.150000000000000000e+03+0.000000000000000000e+00j)	 (-1.348720409761309039e-02-2.420627118064030692e-01j)
 (1.160000000000000000e+03+0.000000000000000000e+00j)	 (9.093755158552745826e-03-2.422675536178649225e-01j)
 (1.170000000000000000e+03+0.000000000000000000e+00j)	 (3.159581881816878740e-02-2.403704868520817883e-01j)
 (1.180000000000000000e+03+0.000000000000000000e+00j)	 (5.382375939407522958e-02-2.363879701643357700e-01j)
 (1.190000000000000000e+03+0.000000000000000000e+00j)	 (7.558472765184587328e-02-2.303545555376571019e-01j)
 (1.200000000000000000e+03+0.000000000000000000e+00j)	 (9.668992576679653894e-02-2.223225885145186653e-01j)
 (1.210000000000000000e+03+0.000000000000000000e+00j)	 (1.169562453314873379e-01-2.123617540518422109e-01j)
 (1.220000000000000000e+03+0.000000000000000000e+00j)	 (1.362078560024011231e-01-2.005584719394150617e-01j)
 (1.230000000000000000e+03+0.000000000000000000e+00j)	 (1.542777310026905713e-01-1.870151470270136063e-01j)
 (1.240000000000000000e+03+0.000000000000000000e+00j)	 (1.710090962457506136e-01-1.718492807651982868e-01j)
 (1.250000000000000000e+03+0.000000000000000000e+00j)	 (1.862567905070118546e-01-1.551924517679968418e-01j)
 (1.260000000000000000e+03+0.000000000000000000e+00j)	 (1.998885248430987416e-01-1.371891742420501270e-01j)
 (1.270000000000000000e+03+0.000000000000000000e+00j)	 (2.117860303316154713e-01-1.179956441864392774e-01j)
 (1.280000000000000000e+03+0.000000000000000000e+00j)	 (2.218460841737510680e-01-9.777838424110392446e-02j)
 (1.290000000000000000e+03+0.000000000000000000e+00j)	 (2.299814052572130008e-01-7.671279894109631070e-02j)
 (1.300000000000000000e+03+0.000000000000000000e+00j)	 (2.361214114095540884e-01-5.498165291123396914e-02j)
 (1.310000000000000000e+03+0.000000000000000000e+00j)	 (2.402128317719244288e-01-3.277348520429895079e-02j)
 (1.320000000000000000e+03+0.000000000000000000e+00j)	 (2.422201689802624680e-01-1.028097353992374341e-02j)
 (1.330000000000000000e+03+0.000000000000000000e+00j)	 (2.421260071439875483e-01+1.230073736398371032e-02j)
 (1.340000000000000000e+03+0.000000000000000000e+00j)	 (2.399311629501322818e-01+3.477572886393356238e-02j)
 (1.350000000000000000e+03+0.000000000000000000e+00j)	 (2.356546785818814937e-01+5.694900817857901504e-02j)
 (1.360000000000000000e+03+0.000000000000000000e+00j)	 (2.293336565129057425e-01+7.862820014414367842e-02j)
 (1.370000000000000000e+03+0.000000000000000000e+00j)	 (2.210229376107618326e-01+9.962521625988927931e-02j)
 (1.380000000000000000e+03+0.000000000000000000e+00j)	 (2.107946253420775740e-01+1.197578865430050515e-01j)
 (1.390000000000000000e+03+0.000000000000000000e+00j)	 (1.987374602074629681e-01+1.388515400349421558e-01j)
 (1.400000000000000000e+03+0.000000000000000000e+00j)	 (1.849560498335011127e-01+1.567405202467112846e-01j)
 (1.410000000000000000e+03+0.000000000000000000e+00j)	 (1.695699614014760659e-01+1.732696223951521175e-01j)
 (1.420000000000000000e+03+0.000000000000000000e+00j)	 (1.527126842868816170e-01+1.882954399606814877e-01j)
 (1.430000000000000000e+03+0.000000000000000000e+00j)	 (1.345304719097983881e-01+2.016876088837716574e-01j)
 (1.440000000000000000e+03+0.000000000000000000e+00j)	 (1.151810728441963472e-01+2.133299386054883506e-01j)
 (1.450000000000000000e+03+0.000000000000000000e+00j)	 (9.483236219501324504e-02+2.231214201391491514e-01j)
 (1.460000000000000000e+03+0.000000000000000000e+00j)	 (7.366088511713712872e-02+2.309771024270424744e-01j)
